nota_finala,R1,P1,P2,P3,L1,L2,L3,practic_prolog,practic_lisp,Punctaj_seminar,Nr_prezente_seminar
10,9.5,10,10,10,10,10,10,10,10,10,7
10,9.5,10,10,10,10,10,10,10,10,6.5,7
10,10,10,10,10,10,10,10,10,10,9.5,7
8,10,10,10,10,10,10,10,10,10,1,5
10,10,10,10,10,10,10,10,10,8.5,6.5,7
10,10,10,10,10,10,10,10,8.75,10,15,7
7,9.5,0,0,0,0,0,8,5.65,9.5,2.5,6
8,9.5,10,10,0,8.5,10,10,6.05,6.75,7.5,7
9,10,10,10,10,10,10,10,10,10,5,7
8,10,10,10,10,10,10,10,10,10,7.5,7
9,10,10,10,10,8.5,10,10,6.5,10,10,7
9,10,10,10,10,10,10,10,10,10,10,7
9,10,10,10,8,10,10,10,10,10,7.5,7
10,8.4,10,10,10,10,10,8,10,10,17.5,6
10,10,10,10,10,10,10,10,10,10,10.5,7
10,10,9.5,10,10,10,10,10,10,10,6.5,6
10,10,10,10,10,10,10,10,10,4.2,10.5,7
10,10,10,10,10,10,10,10,10,10,8,7
10,10,10,10,10,10,10,10,10,10,10,7
9,10,10,10,10,10,10,10,10,9.75,5,7
10,8,10,10,10,10,10,10,10,10,9.5,6
8,8.5,10,10,10,10,10,10,10,8.7,1,5
7,10,6,10,10,4.8,8,10,10,10,1,5
10,10,10,10,10,10,10,10,10,10,8,7
9,10,10,10,10,10,10,10,10,9.75,2.5,7
6,9.5,10,10,0,10,10,10,6.6,7,5,7
9,10,10,10,10,9.8,0,10,9.8,9,15,6
6,10,6,10,10,10,10,10,9.5,7.75,2.5,7
8,10,10,10,10,10,10,10,10,10,6.5,7
9,10,8.4,10,10,10,10,10,10,10,5,7
10,10,8,10,10,8,10,10,9.5,10,8,7
9,8,10,10,10,10,10,10,9.15,10,10,6
10,10,10,10,10,10,10,10,10,10,6.5,6
10,9,10,10,10,10,10,10,7.75,10,6.5,7
10,9,10,10,10,10,10,10,10,10,5,7
9,10,10,10,10,10,10,10,9.75,6.25,5,7
10,9,10,10,10,10,10,10,10,10,8,7
8,10,10,10,10,10,10,10,9.75,8,7.5,7
10,10,10,10,10,10,10,10,10,10,12.5,7
9,10,10,10,10,10,10,10,10,10,10,7
9,9.5,10,10,10,10,10,10,10,10,2.5,7
10,10,10,10,10,10,10,10,10,10,5,7
10,10,10,10,10,10,10,10,9.25,6.5,11,7
10,10,10,10,10,10,10,10,9.5,8.2,8,7
8,9,10,10,10,8,9.5,10,10,10,8,7
10,10,10,10,10,10,10,10,9.25,10,10.5,7
10,10,10,10,10,10,10,10,9.9,10,10,7
9,9.5,9.5,10,10,10,10,10,10,9.8,6.5,7
10,10,10,10,10,10,10,10,10,10,9.5,7
10,10,10,10,10,10,10,10,7,10,6.5,7
10,10,10,10,10,10,10,10,10,10,8,7
10,8.5,10,10,10,10,10,10,10,10,5,7
10,10,10,10,10,10,10,10,9.9,9.9,8,7
10,10,10,10,10,10,10,10,10,10,10,7
9,10,10,10,10,10,10,10,7.2,10,5,6
10,9.5,10,10,10,10,10,10,10,10,12.5,7
10,10,10,10,10,10,10,10,10,10,10,7
8,10,10,10,9,10,10,10,9.75,9.5,5,7
8,10,10,10,10,10,10,10,10,8.25,7.5,6
9,10,10,10,10,10,8,10,10,10,7.5,6
8,9.5,10,10,10,10,10,10,10,10,2.5,7
8,10,10,10,10,10,10,10,6.5,10,7.5,6
8,10,10,10,10,10,10,10,10,10,7.5,7
9,10,10,10,10,10,10,10,9.9,8.5,2.5,7
10,10,10,10,10,10,10,10,9.9,10,8,7
10,10,10,10,10,10,10,10,10,10,10,7
10,10,10,10,10,10,10,10,10,9.9,11,7
10,10,10,10,10,10,10,10,10,10,10,7
10,10,10,10,10,10,10,10,10,10,9.5,7
8,10,10,10,10,10,10,10,10,10,8,7
10,10,10,10,10,10,10,10,10,10,9.5,6
10,10,10,10,10,10,10,10,10,10,9.5,7
10,10,10,10,10,10,10,10,9.7,10,15,7
9,10,10,10,10,9,10,10,8.9,7.9,2.5,7
